#x_m,y_m,w_tr_right_m,w_tr_left_m
4.68,21.32,1.1758172482873765,4.28
4.7,21.3,1.1658863304850706,4.3
4.82,21.3,1.220123452086291,4.42
4.84,21.28,1.21245154965971,4.44
4.92,21.28,1.253602128687551,4.5200000000000005
4.94,21.26,1.2475436261295179,4.54
4.98,21.26,1.2697305171793443,4.58
5.0,21.240000000000002,1.264692163734785,4.6000000000000005
5.0600000000000005,21.240000000000002,1.3,4.66
5.08,21.22,1.2962311163281968,4.68
5.1000000000000005,21.22,1.3085666507338833,4.7
5.12,21.2,1.3055204484262273,4.72
5.16,21.2,1.331126800670592,4.76
5.18,21.18,1.3290459797240788,4.78
5.2,21.18,1.3422973339817748,4.8
5.22,21.16,1.340919297382851,4.82
5.26,21.16,1.3682759965570985,4.86
5.28,21.14,1.3678235206037959,4.88
5.3,21.14,1.3819090885900998,4.9
5.32,21.12,1.382133552795637,4.92
5.34,21.12,1.3965522536235901,4.94
5.38,21.080000000000002,1.3987773625437918,4.98
5.4,21.080000000000002,1.4137254478007415,5.0
5.42,21.06,1.4157092278225607,5.0200000000000005
5.44,21.06,1.4309560344257315,5.04
5.54,20.96,1.4483506160899235,5.14
5.5600000000000005,20.96,1.4646179233290664,5.16
5.74,20.78,1.5235384061671347,5.34
5.74,20.76,1.5142622599842477,5.34
5.8,20.7,1.5416487838947601,5.4
5.8,20.68,1.5332873557751316,5.4
5.84,20.64,1.5538679586911701,5.44
5.84,20.62,1.546175737183053,5.44
5.86,20.6,1.5572429588581997,5.46
5.86,20.580000000000002,1.5499743588057768,5.46
5.88,20.56,1.5616319736382767,5.48
5.88,20.54,1.5547889911701467,5.48
5.92,20.5,1.5795959183631392,5.5200000000000005
5.92,20.48,1.5734234213670417,5.5200000000000005
5.94,20.46,1.5865548066942428,5.54
5.94,20.42,1.5752468200202223,5.54
5.96,20.400000000000002,1.589170681465017,5.5600000000000005
5.96,20.36,1.579090700296477,5.5600000000000005
5.98,20.34,1.5937903600930565,5.58
5.98,20.32,1.5892712233378334,5.58
6.0,20.3,1.6044949488586895,5.6000000000000005
6.0,20.22,1.5892712233378334,5.6000000000000005
6.0200000000000005,20.2,1.605691900566984,5.62
6.0200000000000005,20.080000000000002,1.5900753754569197,5.62
6.04,20.06,1.6080836635957179,5.64
6.04,19.92,1.600399960007998,5.64
6.0600000000000005,19.900000000000002,1.6200990074746338,5.66
6.0600000000000005,6.6000000000000005,1.62,5.66
6.04,6.58,1.6,5.64
6.04,6.48,1.6,5.64
