#x_m,y_m,w_tr_right_m,w_tr_left_m
10.86,28.1,10.46,10.28086138848361
10.84,28.080000000000002,10.44,10.252699188468622
10.8,28.080000000000002,10.4,10.22721035832076
10.78,28.060000000000002,10.38,10.199056561788884
10.76,28.060000000000002,10.36,10.186349701384326
10.74,28.04,10.34,10.15820060426965
10.72,28.04,10.32,10.145520375970072
10.700000000000001,28.02,10.3,10.117376098628403
10.66,28.02,10.26,10.09209226036447
10.64,28.0,10.24,10.063957186456758
10.620000000000001,28.0,10.22,10.051353979269864
10.6,27.98,10.200000000000001,10.023224069355892
10.58,27.98,10.18,10.010648394792709
10.56,27.96,10.16,9.982523777964584
10.540000000000001,27.96,10.14,9.96997589196812
10.52,27.94,10.120000000000001,9.941856699838768
10.48,27.94,10.08,9.91684060165708
10.46,27.92,10.06,9.888731700263156
10.44,27.92,10.040000000000001,9.876263912531636
10.42,27.900000000000002,10.02,9.848160810604018
10.4,27.900000000000002,10.0,9.835721762533407
10.38,27.88,9.98,9.807624601247834
10.34,27.88,9.94,9.782828683622249
10.32,27.86,9.92,9.75474273430893
10.3,27.86,9.9,9.742386306979242
10.28,27.84,9.88,9.714306698928999
10.26,27.84,9.86,9.701980003939822
10.24,27.82,9.84,9.67390688859094
10.200000000000001,27.82,9.8,9.649338286673407
10.18,27.8,9.78,9.621277363689721
10.16,27.8,9.76,9.609035917609647
10.14,27.78,9.74,9.580981915623333
10.120000000000001,27.78,9.72,9.56877123822189
10.1,27.76,9.700000000000001,9.540724319686166
10.08,27.76,9.68,9.528544707055511
10.06,27.740000000000002,9.66,9.50050503762308
10.040000000000001,27.740000000000002,9.64,9.488356789679466
10.02,27.72,9.620000000000001,9.460324538269518
10.0,27.72,9.6,9.448207958811592
9.98,27.7,9.58,9.420183297678308
9.96,27.7,9.56,9.408098694446341
9.94,27.68,9.540000000000001,9.38008179924892
9.9,27.68,9.5,9.35600328003225
9.88,27.66,9.48,9.328000822368386
9.86,27.66,9.46,9.316007410454153
9.84,27.64,9.44,9.288013212212295
9.82,27.64,9.42,9.276052914282767
9.8,27.62,9.4,9.248067163945326
9.76,27.62,9.36,9.224240229753203
9.72,27.580000000000002,9.32,9.168301834704003
9.700000000000001,27.580000000000002,9.3,9.1564428528611
9.68,27.560000000000002,9.28,9.128483614930552
9.66,27.560000000000002,9.26,9.11665907763854
9.64,27.54,9.24,9.088709079743145
9.6,27.54,9.200000000000001,9.06515715664563
9.58,27.52,9.18,9.037224168154532
9.56,27.52,9.16,9.025497334358542
9.540000000000001,27.5,9.14,8.997574155067891
9.52,27.5,9.120000000000001,8.98588301653073
9.5,27.48,9.1,8.957969865307325
9.48,27.48,9.08,8.946314781773616
9.46,27.46,9.06,8.918411881860557
9.44,27.46,9.040000000000001,8.906793217859738
9.42,27.44,9.02,8.878900796969434
9.4,27.44,9.0,8.867318921888899
9.38,27.42,8.98,8.83943721229816
9.36,27.42,8.96,8.827892500457512
9.34,27.400000000000002,8.94,8.800021739104752
9.3,27.400000000000002,8.9,8.777036558715455
9.26,27.36,8.86,8.72133762120447
9.24,27.36,8.84,8.709906695460717
9.22,27.34,8.82,8.682070248572185
9.200000000000001,27.34,8.8,8.670678034193475
9.18,27.32,8.78,8.64285353193338
9.14,27.32,8.74,8.620177381847876
9.1,27.28,8.700000000000001,8.56457472499393
9.08,27.28,8.68,8.553301067204208
9.06,27.26,8.66,8.525513990801874
9.040000000000001,27.26,8.64,8.514280677654254
9.02,27.240000000000002,8.620000000000001,8.486506625215558
8.98,27.240000000000002,8.58,8.464152525763533
8.94,27.2,8.540000000000001,8.40865483487689
8.9,27.2,8.5,8.3864668667218
8.86,27.16,8.46,8.331025140268467
8.82,27.16,8.42,8.30900683201018
8.78,27.12,8.38,8.25362351850368
8.76,27.12,8.36,8.24268476805674
8.74,27.1,8.34,8.215010156697439
8.72,27.1,8.32,8.20411529443905
8.700000000000001,27.080000000000002,8.3,8.176456144585595
8.66,27.080000000000002,8.26,8.154788132969747
8.620000000000001,27.04,8.22,8.099529398737321
8.6,27.04,8.2,8.08876905092841
8.58,27.02,8.18,8.061158313138929
8.56,27.02,8.16,8.050443775329198
8.540000000000001,27.0,8.14,8.022849874003454
8.5,27.0,8.1,8.001547476506932
8.44,26.94,8.040000000000001,7.9188701155866115
8.4,26.94,8.0,7.897782836396721
8.38,26.92,7.98,7.870259971730031
8.36,26.92,7.96,7.859782079449797
8.34,26.900000000000002,7.94,7.832277935055401
8.32,26.900000000000002,7.92,7.821848940475616
8.28,26.86,7.88,7.7668843508402885
8.26,26.86,7.86,7.756518865300319
8.24,26.84,7.84,7.729058986131174
8.22,26.84,7.82,7.718743745186197
8.2,26.82,7.8,7.691303974020505
8.18,26.82,7.78,7.681039537089272
8.16,26.8,7.76,7.653620303937851
8.14,26.8,7.74,7.643407238229331
8.1,26.76,7.7,7.58861690156688
8.08,26.76,7.68,7.5784710314696255
8.06,26.740000000000002,7.66,7.551100552753688
8.02,26.740000000000002,7.62,7.53095202355934
7.98,26.7,7.58,7.476293544555078
7.96,26.7,7.5600000000000005,7.46630790142364
7.94,26.68,7.54,7.439005038906405
7.92,26.68,7.5200000000000005,7.429074019320548
7.88,26.64,7.48,7.374522493375397
7.84,26.64,7.44,7.3548436476823955
7.8,26.6,7.4,7.300389600533209
7.78,26.6,7.38,7.290643666169952
7.76,26.580000000000002,7.36,7.26344570020562
7.74,26.580000000000002,7.34,7.253757247260982
7.72,26.560000000000002,7.32,7.226585081148706
7.7,26.560000000000002,7.3,7.216954772085757
7.68,26.54,7.28,7.189808956752469
7.66,26.54,7.26,7.180237463298891
7.6000000000000005,26.48,7.2,7.098906586963196
7.5600000000000005,26.48,7.16,7.08
7.5200000000000005,26.44,7.12,7.025900618780189
7.48,26.44,7.08,7.007239701805255
7.42,26.38,7.0200000000000005,6.9262814578747935
7.4,26.38,7.0,6.917075918698671
7.38,26.36,6.98,6.890130314335952
7.36,26.36,6.96,6.880988943818003
7.34,26.34,6.94,6.854074717012501
7.32,26.34,6.92,6.844998274671982
7.3,26.32,6.9,6.818116097708598
7.28,26.32,6.88,6.80910535364826
7.24,26.28,6.84,6.755417527999327
7.22,26.28,6.82,6.746495644719865
7.18,26.240000000000002,6.78,6.692897856306687
7.16,26.240000000000002,6.76,6.684066628709813
7.140000000000001,26.22,6.74,6.65730826873816
7.12,26.22,6.72,6.648545949343028
7.08,26.18,6.68,6.595112579508639
7.0600000000000005,26.18,6.66,6.586444016808551
7.04,26.16,6.640000000000001,6.559770111145914
7.0200000000000005,26.16,6.62,6.5511725629565545
6.98,26.12,6.58,6.497912727774975
6.96,26.12,6.5600000000000005,6.489412166505935
6.94,26.1,6.54,6.46282740566889
6.92,26.1,6.5200000000000005,6.454400046685341
6.88,26.060000000000002,6.48,6.401323400633145
6.86,26.060000000000002,6.46,6.3929963933451335
6.84,26.04,6.44,6.36650574521296
6.82,26.04,6.42,6.358254212442737
6.78,26.0,6.38,6.305370981534131
6.76,26.0,6.36,6.297223305221352
6.72,25.96,6.32,6.244456335923956
6.7,25.96,6.3,6.236414694697733
6.66,25.92,6.26,6.183767918145353
6.640000000000001,25.92,6.24,6.175834547796957
6.62,25.900000000000002,6.22,6.149564871042961
6.6000000000000005,25.900000000000002,6.2,6.141712314065791
6.58,25.88,6.18,6.115489237194701
6.5600000000000005,25.88,6.16,6.107718494218999
6.5,25.82,6.1000000000000005,6.029245678926883
6.48,25.82,6.08,6.021619733369456
6.44,25.78,6.04,5.969458375717672
6.42,25.78,6.0200000000000005,5.961949386783897
6.4,25.76,6.0,5.935929292534759
6.38,25.76,5.98,5.928506932918696
6.32,25.7,5.92,5.850663964732067
6.3,25.7,5.9,5.843396511515187
6.28,25.68,5.88,5.817523622793885
6.26,25.68,5.86,5.81034620613054
6.22,25.64,5.82,5.758733636065129
6.2,25.64,5.8,5.751682696628623
6.16,25.6,5.76,5.700229503879342
6.140000000000001,25.6,5.74,5.693307804468768
6.08,25.54,5.68,5.616410890223506
6.0600000000000005,25.54,5.66,5.609658892150203
6.0200000000000005,25.5,5.62,5.5585904373433825
6.0,25.5,5.6000000000000005,5.551974462310806
5.98,25.48,5.58,5.52651668351655
5.96,25.48,5.5600000000000005,5.5200000000000005
5.88,25.400000000000002,5.48,5.418590894709817
5.86,25.400000000000002,5.46,5.412297308293855
5.82,25.36,5.42,5.3618399838940345
5.8,25.36,5.4,5.355692834055689
5.78,25.34,5.38,5.330549711851386
5.76,25.34,5.36,5.324508712544684
5.68,25.26,5.28,5.224411080282095
5.66,25.26,5.26,5.218611928225689
5.6000000000000005,25.2,5.2,5.144005772002767
5.58,25.2,5.18,5.138411324558696
5.5600000000000005,25.18,5.16,5.113655774529274
5.54,25.18,5.14,5.108175741568165
5.46,25.1,5.0600000000000005,5.009695000644676
5.44,25.1,5.04,5.004479623423517
5.38,25.04,4.98,4.931153721287729
5.36,25.04,4.96,4.926161845081315
5.28,24.96,4.88,4.82914907035552
5.26,24.96,4.86,4.824442553995594
5.22,24.92,4.82,4.776292109222585
5.2,24.92,4.8,4.771769523093619
5.12,24.84,4.72,4.676219065406851
5.1000000000000005,24.84,4.7,4.672001577286821
5.0200000000000005,24.76,4.62,4.577429055245288
5.0,24.76,4.6000000000000005,4.573529933558257
4.92,24.68,4.5200000000000005,4.48
4.9,24.68,4.5,4.476433122683012
4.78,24.560000000000002,4.38,4.338143096192853
4.76,24.560000000000002,4.36,4.3350607176677265
4.66,24.46,4.26,4.221774550970655
4.64,24.46,4.24,4.219134117992246
4.5200000000000005,24.34,4.12,4.085755231842237
4.5,24.34,4.1,4.083659219878335
4.48,24.32,4.08,4.061748536168304
4.48,24.3,4.08,4.041846462902562
4.46,24.28,4.0600000000000005,4.0200000000000005
4.44,24.28,4.04,4.018144406874905
4.28,24.12,3.88,3.8467870207958392
4.26,24.12,3.86,3.845703710811672
4.22,24.080000000000002,3.8200000000000003,3.803855373344806
4.22,24.060000000000002,3.8200000000000003,3.7838738030681567
4.2,24.04,3.8000000000000003,3.76307578600246
4.18,24.04,3.7800000000000002,3.7623551025831516
3.7,23.56,3.3000000000000003,3.2956731457205466
3.7,23.54,3.3000000000000003,3.275758425141674
3.54,23.38,3.14,3.135533905932738
3.54,23.36,3.14,3.1157360538015366
3.4,23.22,3.0,3.000764619905353
3.4,23.2,3.0,2.981124073440666
3.3200000000000003,23.12,2.92,2.9190360046254393
3.3200000000000003,23.1,2.92,2.8995151158920307
3.24,23.02,2.84,2.8403086272761118
3.24,23.0,2.84,2.8209315422715835
3.18,22.94,2.7800000000000002,2.77855312996338
3.18,22.92,2.7800000000000002,2.759303720758737
3.1,22.84,2.7,2.7056722299689
3.1,22.82,2.7,2.6866162702869305
3.06,22.78,2.66,2.6611109094575456
3.06,22.76,2.66,2.642170277943035
3.02,22.72,2.62,2.617614952242913
3.02,22.7,2.62,2.5987997599039523
2.94,22.62,2.54,2.5525582128046183
2.94,22.6,2.54,2.5340074982862606
2.92,22.580000000000002,2.52,2.5230805667993486
2.92,22.56,2.52,2.5046170143411337
2.88,22.52,2.48,2.4836088500349693
2.88,22.5,2.48,2.4653097563788804
2.86,22.48,2.46,2.455240795449659
2.86,22.46,2.46,2.4370407117276267
2.82,22.42,2.42,2.417800560721074
2.82,22.400000000000002,2.42,2.3997857060853782
2.7800000000000002,22.36,2.38,2.381726082848561
2.7800000000000002,22.34,2.38,2.3639102735074453
2.74,22.3,2.34,2.3470711676256224
2.74,22.28,2.34,2.329468812791236
2.72,22.26,2.32,2.3215436796053814
2.72,22.240000000000002,2.32,2.304071004984891
2.7,22.22,2.3000000000000003,2.2965162710430658
2.7,22.2,2.3000000000000003,2.279178978717174
2.66,22.16,2.2600000000000002,2.265107877741537
2.66,22.14,2.2600000000000002,2.248018126826174
2.64,22.12,2.24,2.241514716975849
2.64,22.1,2.24,2.2245761562583777
2.6,22.06,2.2,2.212661478263114
2.6,22.04,2.2,2.1959969183340724
2.58,22.02,2.18,2.190598386473673
2.58,22.0,2.18,2.1741017850893156
2.56,21.98,2.16,2.169124364447934
2.56,21.96,2.16,2.1528023816974162
2.54,21.94,2.14,2.14825430442097
2.54,21.92,2.14,2.132113741521103
2.52,21.900000000000002,2.12,2.1280031645549813
2.52,21.88,2.12,2.1120509548972133
2.5,21.86,2.1,2.1083859352181036
2.5,21.84,2.1,2.0926291340670797
2.48,21.82,2.08,2.089417602572939
2.48,21.8,2.08,2.073863375370596
2.46,21.78,2.06,2.071113109511582
2.46,21.740000000000002,2.06,2.040491753725056
2.44,21.72,2.04,2.0383601046605073
2.44,21.7,2.04,2.0233035303073366
2.42,21.68,2.02,2.021652328473268
2.42,21.66,2.02,2.0068236329236924
2.4,21.64,2.0,2.005659992600783
2.4,21.6,2.0,1.9765521244020718
2.38,21.580000000000002,1.98,1.9760471375795559
2.38,21.56,1.98,1.961778990506944
2.36,21.54,1.96,1.961778990506944
2.36,21.52,1.96,1.9477648945326704
2.34,21.5,1.94,1.9482759633399138
2.34,21.46,1.94,1.9208619088605856
2.32,21.44,1.92,1.9220680437919988
2.32,21.42,1.92,1.9086792761230391
2.3000000000000003,21.400000000000002,1.9000000000000001,1.9104112188093272
2.3000000000000003,21.36,1.9000000000000001,1.8842942017174582
2.2800000000000002,21.34,1.8800000000000001,1.8867444107289297
2.2800000000000002,21.3,1.8800000000000001,1.8614154859291117
2.2600000000000002,21.28,1.86,1.8645970944077448
2.2600000000000002,21.240000000000002,1.86,1.8400892839349061
2.24,21.22,1.84,1.844014260204244
2.24,21.18,1.84,1.8203603311174519
2.22,21.16,1.82,1.8250393254951698
2.22,21.12,1.82,1.8022715545545243
2.2,21.1,1.8,1.8077137495608437
2.2,21.04,1.8,1.7751321798916038
2.18,21.02,1.78,1.7815590755237412
2.18,20.98,1.78,1.760925727552893
2.16,20.96,1.76,1.7681328372588243
2.16,20.900000000000002,1.76,1.7388782106515555
2.14,20.88,1.74,1.747091055358389
2.14,20.82,1.74,1.7198113123577767
2.12,20.8,1.72,1.7290373411474023
2.12,20.72,1.72,1.6957099035887577
2.1,20.7,1.7,1.706181378704123
2.1,20.62,1.7,1.6763429389192914
2.08,20.6,1.68,1.68806130178211
2.08,20.5,1.68,1.6557237168452381
2.06,20.48,1.6600000000000001,1.668912757948
2.06,20.34,1.6600000000000001,1.632732151563506
2.04,20.32,1.6400000000000001,1.6478281177872327
2.04,20.14,1.6400000000000001,1.616829194552677
2.02,20.12,1.62,1.6342074623793905
2.02,3.96,1.62,1.6342074623793905
2.04,3.94,1.6400000000000001,1.616829194552677
2.04,3.7600000000000002,1.6400000000000001,1.6478281177872327
2.06,3.74,1.6600000000000001,1.632732151563506
2.06,3.6,1.6600000000000001,1.668912757948
2.08,3.58,1.68,1.6557237168452381
2.08,3.48,1.68,1.68806130178211
2.1,3.46,1.7,1.6763429389192914
2.1,3.38,1.7,1.706181378704123
2.12,3.36,1.72,1.6957099035887577
2.12,3.2800000000000002,1.72,1.7290373411474023
2.14,3.2600000000000002,1.74,1.7198113123577767
2.14,3.2,1.74,1.747091055358389
2.16,3.18,1.76,1.7388782106515555
2.16,3.12,1.76,1.7681328372588243
2.18,3.1,1.78,1.760925727552893
2.18,3.06,1.78,1.7815590755237412
2.2,3.04,1.8,1.7751321798916038
2.2,2.98,1.8,1.8077137495608437
2.22,2.96,1.82,1.8022715545545243
2.22,2.92,1.82,1.8250393254951698
2.24,2.9,1.84,1.8203603311174519
2.24,2.86,1.84,1.844014260204244
