# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;3.650001;51.900002;-0.039195;-0.045625;2.850000;0.000000
0.199998;3.850626;51.892134;-0.043653;-0.044462;2.850000;0.000000
0.399997;4.050938;51.882488;-0.052451;-0.043272;2.850000;0.000000
0.599995;4.250948;51.871118;-0.060999;-0.042058;2.850000;0.000000
0.799993;4.450669;51.858075;-0.069293;-0.040822;2.850000;0.000000
0.999992;4.650113;51.843414;-0.077331;-0.039565;2.850000;0.000000
1.199990;4.849293;51.827187;-0.085111;-0.038289;2.850000;0.000000
1.399988;5.048221;51.809448;-0.092629;-0.036997;2.850000;0.000000
1.599987;5.246910;51.790251;-0.099884;-0.035689;2.850000;0.000000
1.799985;5.445373;51.769647;-0.106874;-0.034369;2.850000;0.000000
1.999983;5.643653;51.747687;-0.113533;-0.032815;2.850000;0.000000
2.199982;5.842231;51.724396;-0.119537;-0.027834;2.850000;0.000000
2.399980;6.040646;51.700004;-0.124603;-0.022839;2.850000;0.000000
2.599978;6.238938;51.674708;-0.128668;-0.017834;2.850000;0.000000
2.799977;6.437146;51.648704;-0.131733;-0.012825;2.850000;0.000000
2.999975;6.635310;51.622189;-0.133796;-0.007815;2.850000;0.000000
3.199973;6.833468;51.595359;-0.134858;-0.002807;2.850000;0.000000
3.399972;7.031659;51.568412;-0.134919;0.002195;2.850000;0.000000
3.599970;7.229922;51.541543;-0.133980;0.007189;2.850000;0.000000
3.799968;7.428298;51.514950;-0.132044;0.012171;2.850000;0.000000
3.999967;7.626749;51.488838;-0.129370;0.015625;2.850000;0.000000
4.199965;7.824943;51.463347;-0.126877;0.010360;2.850000;0.000000
4.399963;8.023271;51.438257;-0.125331;0.005109;2.850000;0.000000
4.599962;8.221689;51.413361;-0.124833;-0.000132;2.850000;0.000000
4.799960;8.420154;51.388454;-0.125383;-0.005366;2.850000;0.000000
4.999958;8.618624;51.363329;-0.126980;-0.010598;2.850000;0.000000
5.199957;8.817055;51.337783;-0.129624;-0.015831;2.850000;0.000000
5.399955;9.015405;51.311607;-0.133315;-0.021069;2.850000;0.000000
5.599953;9.213629;51.284598;-0.138054;-0.026314;2.850000;0.000000
5.799952;9.411686;51.256549;-0.143842;-0.031568;2.850000;0.000000
5.999950;9.609546;51.227253;-0.150320;-0.034235;2.850000;0.000000
6.199948;9.807232;51.196638;-0.156357;-0.027144;2.850000;0.000000
6.399947;10.004730;51.164954;-0.161077;-0.020046;2.850000;0.000000
6.599945;10.202087;51.132481;-0.164376;-0.012945;2.850000;0.000000
6.799943;10.399350;51.099497;-0.166255;-0.005841;2.850000;0.000000
6.999942;10.596567;51.066285;-0.166712;0.001265;2.850000;0.000000
7.199940;10.793786;51.033124;-0.165749;0.008371;2.850000;0.000000
7.399938;10.991052;51.000295;-0.163364;0.015479;2.850000;0.000000
7.599937;11.188414;50.968077;-0.159558;0.022587;2.850000;0.000000
7.799935;11.385918;50.936751;-0.154335;0.029693;2.850000;0.000000
7.999933;11.583597;50.906597;-0.148122;0.033299;2.850000;0.000000
8.199932;11.781445;50.877732;-0.142101;0.027721;2.850000;0.000000
8.399930;11.979471;50.849961;-0.137116;0.022146;2.850000;0.000000
8.599928;12.177640;50.823064;-0.133244;0.016575;2.850000;0.000000
8.799927;12.375917;50.796822;-0.130485;0.011009;2.850000;0.000000
8.999925;12.574264;50.771015;-0.128840;0.005445;2.850000;0.000000
9.199923;12.772648;50.745423;-0.128307;-0.000117;2.850000;0.000000
9.399922;12.971032;50.719826;-0.128886;-0.005678;2.850000;0.000000
9.599920;13.169380;50.694004;-0.130579;-0.011241;2.850000;0.000000
9.799918;13.367657;50.667739;-0.133379;-0.016807;2.850000;0.000000
9.999917;13.565831;50.640810;-0.136997;-0.019797;2.850000;0.000000
10.199915;13.763889;50.613114;-0.140714;-0.017742;2.850000;0.000000
10.399913;13.961838;50.584716;-0.144056;-0.015684;2.850000;0.000000
10.599911;14.159693;50.555698;-0.146987;-0.013624;2.850000;0.000000
10.799910;14.357470;50.526141;-0.149505;-0.011562;2.850000;0.000000
10.999908;14.555184;50.496126;-0.151611;-0.009500;2.850000;0.000000
11.199906;14.752851;50.465733;-0.153305;-0.007438;2.850000;0.000000
11.399905;14.950488;50.435044;-0.154586;-0.005377;2.850000;0.000000
11.599903;15.148109;50.404140;-0.155456;-0.003315;2.850000;0.000000
11.799901;15.345731;50.373102;-0.155913;-0.001255;2.850000;0.000000
11.999900;15.543324;50.342017;-0.155986;0.000560;2.850000;0.000000
12.199898;15.740879;50.310960;-0.155731;0.002011;2.850000;0.000000
12.399896;15.938463;50.279979;-0.155183;0.003462;2.850000;0.000000
12.599895;16.136081;50.249134;-0.154346;0.004912;2.850000;0.000000
12.799893;16.333736;50.218481;-0.153218;0.006363;2.850000;0.000000
12.999891;16.531431;50.188080;-0.151800;0.007814;2.850000;0.000000
13.199890;16.729170;50.157989;-0.150092;0.009267;2.850000;0.000000
13.399888;16.926955;50.128265;-0.148093;0.010720;2.850000;0.000000
13.599886;17.124791;50.098968;-0.145804;0.012175;2.850000;0.000000
13.799885;17.322681;50.070155;-0.143231;0.013632;2.850000;0.000000
13.999883;17.520682;50.041873;-0.140603;0.012853;2.850000;0.000000
14.199881;17.718798;50.014089;-0.138387;0.009440;2.850000;0.000000
14.399880;17.916948;49.986682;-0.136840;0.006025;2.850000;0.000000
14.599878;18.115114;49.959516;-0.135976;0.002609;2.850000;0.000000
14.799876;18.313280;49.932456;-0.135796;-0.000809;2.850000;0.000000
14.999875;18.511428;49.905365;-0.136300;-0.004228;2.850000;0.000000
15.199873;18.709541;49.878109;-0.137487;-0.007648;2.850000;0.000000
15.399871;18.907602;49.850550;-0.139359;-0.011068;2.850000;0.000000
15.599870;19.105594;49.822555;-0.141914;-0.014489;2.850000;0.000000
15.799868;19.303499;49.793987;-0.145137;-0.017908;2.850000;0.000000
15.999866;19.501312;49.764715;-0.148681;-0.017823;2.850000;0.000000
16.199865;19.699033;49.734741;-0.151906;-0.014544;2.850000;0.000000
16.399863;19.896671;49.704191;-0.154486;-0.011264;2.850000;0.000000
16.599861;20.094246;49.673196;-0.156411;-0.007986;2.850000;0.000000
16.799860;20.291778;49.641883;-0.157680;-0.004708;2.850000;0.000000
16.999858;20.489284;49.610385;-0.158294;-0.001430;2.850000;0.000000
17.199856;20.686785;49.578829;-0.158253;0.001847;2.850000;0.000000
17.399855;20.884300;49.547345;-0.157556;0.005124;2.850000;0.000000
17.599853;21.081848;49.516064;-0.156203;0.008401;2.850000;0.000000
17.799851;21.279449;49.485115;-0.154209;0.011678;2.850000;0.000000
17.999850;21.477095;49.454626;-0.151802;0.012572;2.850000;0.000000
18.199848;21.674801;49.424634;-0.149371;0.011794;2.850000;0.000000
18.399846;21.872581;49.395108;-0.147090;0.011017;2.850000;0.000000
18.599845;22.070431;49.366017;-0.144965;0.010239;2.850000;0.000000
18.799843;22.268348;49.337331;-0.142995;0.009461;2.850000;0.000000
18.999841;22.466328;49.309017;-0.141180;0.008683;2.850000;0.000000
19.199840;22.664366;49.281046;-0.139522;0.007905;2.850000;0.000000
19.399838;22.862460;49.253387;-0.138018;0.007127;2.850000;0.000000
19.599836;23.060606;49.226008;-0.136670;0.006350;2.850000;0.000000
19.799835;23.258799;49.198879;-0.135487;0.005572;2.850000;0.000000
19.999833;23.457013;49.171969;-0.134586;0.003538;2.850000;0.000000
20.199831;23.655243;49.145199;-0.134150;0.000831;2.850000;0.000000
20.399830;23.853483;49.118461;-0.134255;-0.001876;2.850000;0.000000
20.599828;24.051712;49.091649;-0.134901;-0.004583;2.850000;0.000000
20.799826;24.249910;49.064656;-0.136088;-0.007291;2.850000;0.000000
20.999825;24.448057;49.037376;-0.137818;-0.010001;2.850000;0.000000
21.199823;24.646132;49.009701;-0.140089;-0.012713;2.850000;0.000000
21.399821;24.844114;48.981526;-0.142903;-0.015427;2.850000;0.000000
21.599820;25.041984;48.952745;-0.146259;-0.018144;2.850000;0.000000
21.799818;25.239722;48.923249;-0.150114;-0.020864;2.850000;0.000000
21.999816;25.437420;48.892934;-0.153977;-0.018245;2.850000;0.000000
