# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;3.700001;51.400002;-0.040573;-0.041930;2.850000;0.000000
0.199897;3.900295;51.391871;-0.044703;-0.041238;2.850000;0.000000
0.399794;4.100362;51.382092;-0.052894;-0.040537;2.850000;0.000000
0.599690;4.300203;51.370698;-0.060937;-0.039826;2.850000;0.000000
0.799587;4.499818;51.357721;-0.068832;-0.039108;2.850000;0.000000
0.999484;4.699204;51.343191;-0.076578;-0.038382;2.850000;0.000000
1.199381;4.898363;51.327141;-0.084174;-0.037650;2.850000;0.000000
1.399278;5.097293;51.309603;-0.091619;-0.036912;2.850000;0.000000
1.599175;5.295994;51.290609;-0.098913;-0.036169;2.850000;0.000000
1.799071;5.494465;51.270189;-0.106055;-0.035421;2.850000;0.000000
1.998968;5.692722;51.248375;-0.112972;-0.034540;2.850000;0.000000
2.198865;5.891258;51.225171;-0.119280;-0.029336;2.850000;0.000000
2.398762;6.089607;51.200809;-0.124621;-0.024112;2.850000;0.000000
2.598659;6.287810;51.175495;-0.128916;-0.018875;2.850000;0.000000
2.798555;6.485911;51.149434;-0.132163;-0.013631;2.850000;0.000000
2.998452;6.683952;51.122832;-0.134363;-0.008384;2.850000;0.000000
3.198349;6.881977;51.095895;-0.135514;-0.003137;2.850000;0.000000
3.398246;7.080027;51.068828;-0.135617;0.002104;2.850000;0.000000
3.598143;7.278146;51.041836;-0.134673;0.007337;2.850000;0.000000
3.798039;7.476376;51.015125;-0.132683;0.012559;2.850000;0.000000
3.997936;7.674719;50.988906;-0.129877;0.016880;2.850000;0.000000
4.197833;7.872785;50.963350;-0.127168;0.011560;2.850000;0.000000
4.397730;8.070996;50.938239;-0.125388;0.006256;2.850000;0.000000
4.597627;8.269308;50.913368;-0.124667;0.000963;2.850000;0.000000
4.797524;8.467677;50.888528;-0.125003;-0.004323;2.850000;0.000000
4.997420;8.666059;50.863513;-0.126395;-0.009605;2.850000;0.000000
5.197317;8.864410;50.838114;-0.128845;-0.014889;2.850000;0.000000
5.397214;9.062687;50.812125;-0.132351;-0.020177;2.850000;0.000000
5.597111;9.260845;50.785337;-0.136914;-0.025471;2.850000;0.000000
5.797008;9.458842;50.757544;-0.142537;-0.030775;2.850000;0.000000
5.996904;9.656640;50.728537;-0.148941;-0.034697;2.850000;0.000000
6.196801;9.854272;50.698209;-0.155049;-0.027825;2.850000;0.000000
6.396698;10.051711;50.666786;-0.159924;-0.020944;2.850000;0.000000
6.596595;10.249002;50.634538;-0.163423;-0.014059;2.850000;0.000000
6.796492;10.446192;50.601738;-0.165545;-0.007171;2.850000;0.000000
6.996388;10.643327;50.568657;-0.166290;-0.000281;2.850000;0.000000
7.196285;10.840453;50.535565;-0.165658;0.006609;2.850000;0.000000
7.396182;11.037616;50.502736;-0.163648;0.013501;2.850000;0.000000
7.596079;11.234863;50.470439;-0.160261;0.020392;2.850000;0.000000
7.795976;11.432240;50.438946;-0.155497;0.027282;2.850000;0.000000
7.995873;11.629783;50.408530;-0.149659;0.032386;2.850000;0.000000
8.195769;11.827481;50.379349;-0.143825;0.027234;2.850000;0.000000
8.395666;12.025355;50.351241;-0.138897;0.022085;2.850000;0.000000
8.595563;12.223372;50.324005;-0.134996;0.016940;2.850000;0.000000
8.795460;12.421499;50.297436;-0.132124;0.011798;2.850000;0.000000
8.995357;12.619704;50.271333;-0.130279;0.006660;2.850000;0.000000
9.195253;12.817951;50.245492;-0.129461;0.001523;2.850000;0.000000
9.395150;13.016209;50.219712;-0.129670;-0.003613;2.850000;0.000000
9.595047;13.214443;50.193789;-0.130906;-0.008750;2.850000;0.000000
9.794944;13.412620;50.167521;-0.133168;-0.013889;2.850000;0.000000
9.994841;13.610710;50.140705;-0.136274;-0.017823;2.850000;0.000000
10.194737;13.808698;50.113209;-0.139612;-0.016199;2.850000;0.000000
10.394634;14.006584;50.085074;-0.142688;-0.014574;2.850000;0.000000
10.594531;14.204382;50.056364;-0.145438;-0.012947;2.850000;0.000000
10.794428;14.402105;50.027142;-0.147863;-0.011318;2.850000;0.000000
10.994325;14.599766;49.997471;-0.149962;-0.009688;2.850000;0.000000
11.194222;14.797379;49.967417;-0.151736;-0.008058;2.850000;0.000000
11.394118;14.994957;49.937042;-0.153184;-0.006428;2.850000;0.000000
11.594015;15.192513;49.906411;-0.154306;-0.004799;2.850000;0.000000
11.793912;15.390061;49.875587;-0.155103;-0.003169;2.850000;0.000000
11.993809;15.587590;49.844637;-0.155575;-0.001552;2.850000;0.000000
12.193706;15.785045;49.813637;-0.155728;0.000026;2.850000;0.000000
12.393602;15.982520;49.782634;-0.155565;0.001602;2.850000;0.000000
12.593499;16.180020;49.751692;-0.155087;0.003178;2.850000;0.000000
12.793396;16.377547;49.720874;-0.154295;0.004754;2.850000;0.000000
12.993293;16.575106;49.690244;-0.153187;0.006331;2.850000;0.000000
13.193190;16.772701;49.659864;-0.151763;0.007908;2.850000;0.000000
13.393087;16.970335;49.629798;-0.150025;0.009486;2.850000;0.000000
13.592983;17.168013;49.600108;-0.147971;0.011066;2.850000;0.000000
13.792880;17.365738;49.570859;-0.145601;0.012648;2.850000;0.000000
13.992777;17.563544;49.542108;-0.143055;0.013172;2.850000;0.000000
14.192674;17.761495;49.513854;-0.140746;0.010264;2.850000;0.000000
14.392571;17.959483;49.486010;-0.138984;0.007354;2.850000;0.000000
14.592467;18.157494;49.458460;-0.137805;0.004443;2.850000;0.000000
14.792364;18.355514;49.431087;-0.137208;0.001530;2.850000;0.000000
14.992261;18.553530;49.403777;-0.137193;-0.001384;2.850000;0.000000
15.192158;18.751527;49.376413;-0.137761;-0.004299;2.850000;0.000000
15.392055;18.949492;49.348881;-0.138912;-0.007214;2.850000;0.000000
15.591951;19.147411;49.321064;-0.140645;-0.010130;2.850000;0.000000
15.791848;19.345270;49.292846;-0.142960;-0.013045;2.850000;0.000000
15.991745;19.543059;49.264114;-0.145690;-0.014623;2.850000;0.000000
16.191642;19.740779;49.234813;-0.148374;-0.012554;2.850000;0.000000
16.391539;19.938430;49.205016;-0.150676;-0.010485;2.850000;0.000000
16.591436;20.136023;49.174805;-0.152565;-0.008416;2.850000;0.000000
16.791332;20.333571;49.144260;-0.154041;-0.006347;2.850000;0.000000
16.991229;20.531083;49.113463;-0.155103;-0.004279;2.850000;0.000000
17.191126;20.728573;49.082497;-0.155752;-0.002211;2.850000;0.000000
17.391023;20.926052;49.051444;-0.155987;-0.000143;2.850000;0.000000
17.590920;21.123531;49.020384;-0.155809;0.001925;2.850000;0.000000
17.790816;21.321023;48.989401;-0.155218;0.003993;2.850000;0.000000
17.990713;21.518530;48.958577;-0.154258;0.005683;2.850000;0.000000
18.190610;21.716050;48.927977;-0.153049;0.006494;2.850000;0.000000
18.390507;21.913610;48.897634;-0.151669;0.007306;2.850000;0.000000
18.590404;22.111216;48.867578;-0.150128;0.008117;2.850000;0.000000
18.790300;22.308874;48.837843;-0.148425;0.008927;2.850000;0.000000
18.990197;22.506589;48.808460;-0.146559;0.009737;2.850000;0.000000
19.190094;22.704369;48.779461;-0.144532;0.010547;2.850000;0.000000
19.389991;22.902219;48.750878;-0.142343;0.011356;2.850000;0.000000
19.589888;23.100145;48.722742;-0.139992;0.012165;2.850000;0.000000
19.789785;23.298153;48.695085;-0.137482;0.012972;2.850000;0.000000
19.989681;23.496230;48.667942;-0.134996;0.012168;2.850000;0.000000
20.189578;23.694350;48.641273;-0.132991;0.008126;2.850000;0.000000
20.389475;23.892525;48.614925;-0.131770;0.004087;2.850000;0.000000
20.589372;24.090728;48.588738;-0.131357;0.000049;2.850000;0.000000
20.789269;24.288932;48.562553;-0.131751;-0.003989;2.850000;0.000000
20.989165;24.487110;48.536210;-0.132952;-0.008028;2.850000;0.000000
21.189062;24.685233;48.509551;-0.134961;-0.012069;2.850000;0.000000
21.388959;24.883274;48.482417;-0.137777;-0.016113;2.850000;0.000000
21.588856;25.081206;48.454647;-0.141402;-0.020161;2.850000;0.000000
21.788753;25.279002;48.426084;-0.145829;-0.024211;2.850000;0.000000
21.988649;25.476692;48.396561;-0.150691;-0.024906;2.850000;0.000000
22.188546;25.674321;48.366058;-0.155103;-0.019642;2.850000;0.000000
22.388443;25.871811;48.334781;-0.158504;-0.014375;2.850000;0.000000
22.588340;26.069195;48.302939;-0.160852;-0.009106;2.850000;0.000000
22.788237;26.266505;48.270740;-0.162145;-0.003835;2.850000;0.000000
22.988134;26.463774;48.238393;-0.162385;0.001439;2.850000;0.000000
23.188030;26.661034;48.206106;-0.161570;0.006714;2.850000;0.000000
23.387927;26.858316;48.174086;-0.159701;0.011993;2.850000;0.000000
23.587824;27.055654;48.142543;-0.156776;0.017275;2.850000;0.000000
23.787721;27.253080;48.111685;-0.152806;0.022558;2.850000;0.000000
23.987618;27.450543;48.081728;-0.148150;0.024476;2.850000;0.000000
24.187514;27.648022;48.052742;-0.143613;0.021275;2.850000;0.000000
24.387411;27.845643;48.024593;-0.139686;0.018067;2.850000;0.000000
24.587308;28.043406;47.997151;-0.136400;0.014854;2.850000;0.000000
24.787205;28.241313;47.970286;-0.133754;0.011640;2.850000;0.000000
24.987102;28.439367;47.943871;-0.131749;0.008429;2.850000;0.000000
25.186998;28.637568;47.917776;-0.130385;0.005222;2.850000;0.000000
25.386895;28.835919;47.891872;-0.129661;0.002024;2.850000;0.000000
25.586792;29.034420;47.866029;-0.129575;-0.001164;2.850000;0.000000
25.786689;29.233075;47.840120;-0.130143;-0.004339;2.850000;0.000000
25.986586;29.431825;47.814016;-0.131975;-0.013320;2.850000;0.000000
26.186483;29.630557;47.787356;-0.136383;-0.030212;2.850000;0.000000
26.386379;29.829137;47.759491;-0.144141;-0.047169;2.850000;0.000000
26.586276;30.027350;47.729763;-0.155307;-0.064266;2.850000;0.000000
26.786173;30.224978;47.697515;-0.169905;-0.081552;2.850000;0.000000
26.986070;30.421808;47.662090;-0.187962;-0.099044;2.850000;0.000000
27.185967;30.617623;47.622831;-0.209507;-0.116716;2.850000;0.000000
27.385863;30.812208;47.579080;-0.234559;-0.134488;2.850000;0.000000
27.585760;31.005346;47.530181;-0.263124;-0.152214;2.850000;0.000000
27.785657;31.196823;47.475477;-0.295179;-0.169671;2.850000;0.000000
27.985554;31.386648;47.414242;-0.329937;-0.179392;2.850000;0.000000
28.185451;31.574607;47.346103;-0.365819;-0.180255;2.850000;0.000000
28.385348;31.760090;47.271191;-0.402014;-0.181585;2.850000;0.000000
28.585244;31.942774;47.189570;-0.438529;-0.183365;2.850000;0.000000
28.785141;32.122334;47.101304;-0.475444;-0.185579;2.850000;0.000000
28.985038;32.298448;47.006457;-0.512833;-0.188204;2.850000;0.000000
29.184935;32.470792;46.905093;-0.550770;-0.191216;2.850000;0.000000
29.384832;32.639042;46.797276;-0.589324;-0.194581;2.850000;0.000000
29.584728;32.802874;46.683070;-0.628559;-0.198261;2.850000;0.000000
29.784625;32.961965;46.562540;-0.668500;-0.202208;2.850000;0.000000
29.984522;33.115935;46.435810;-0.708591;-0.200273;2.850000;0.000000
30.184419;33.264660;46.303106;-0.747670;-0.191926;2.850000;0.000000
30.384316;33.408268;46.164743;-0.785116;-0.183535;2.850000;0.000000
30.584212;33.546832;46.021094;-0.820924;-0.175229;2.850000;0.000000
30.784109;33.680420;45.872533;-0.855127;-0.167111;2.850000;0.000000
30.984006;33.809104;45.719435;-0.887766;-0.159262;2.850000;0.000000
31.183903;33.932955;45.562174;-0.918896;-0.151744;2.850000;0.000000
31.383800;34.052042;45.401123;-0.948575;-0.144598;2.850000;0.000000
31.583697;34.166437;45.236658;-0.976868;-0.137853;2.850000;0.000000
31.783593;34.276209;45.069152;-1.003843;-0.131526;2.850000;0.000000
31.983490;34.381433;44.898974;-1.029576;-0.125660;2.850000;0.000000
32.183387;34.482244;44.726383;-1.054108;-0.119777;2.850000;0.000000
32.383284;34.578840;44.551531;-1.077436;-0.113748;2.850000;0.000000
32.583181;34.671419;44.374568;-1.099544;-0.107624;2.850000;0.000000
32.783077;34.760180;44.195643;-1.120425;-0.101446;2.850000;0.000000
32.982974;34.845320;44.014908;-1.140075;-0.095251;2.850000;0.000000
33.182871;34.927037;43.832511;-1.158495;-0.089066;2.850000;0.000000
33.382768;35.005530;43.648603;-1.175690;-0.082914;2.850000;0.000000
